OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,SHAPE_Length
258,31500050,Y,6230,4TH AVE S,59,"4TH AVE S, S/O 2ND AV ET S",2014,6230,27000,315083,Y,Y,932.017380165578
259,65600100,N,10218,ELLIOTT AVE W,120,"ELLIOTT AVE W, SE/O W MERCER PL",2014,10218,48900,315142,Y,Y,7015.73251214325
260,50450230,Y,8728,ALASKAN WAY,80,"ALASKAN WAY, SE/O BLANCHARD ST",2014,8728,10000,315539, ,Y,4264.96292674291
261,181760010,N,22804,SW SPOKANE BR,280,"SW SPOKANE BR, W/O SW SPOKANE E ST",2014,22804,10300,315320, ,Y,3997.45282894368
262,27200140,N,5452,35TH AVE SW,52,"35TH AVE SW, S/O SW ALASKA ST",2014,5452,23600,315079,Y,Y,7074.60116424615
263,78100010,R,489864,UNION ST OFF RAMP,241,"UNION ST OFF RP, NE/O UNION ST",2014,489864,9100,313307, ,Y,309.136216973012
264,77250010,R,489829,OLIVE WAY OFF RAMP,192,"OLIVE WY OFF RP, S/O OLIVE WAY",2014,489829,19200,314197, ,Y,1120.9357023746
265,96200020,R,490079,SENECA ST OFF RAMP,134,"I5 NB SENECA ST OFF RP, SE/O SENECA ST",2014,490079,17400,313801, ,Y,1443.09187831442
266,156200095,N,19699,S COLUMBIAN WAY,211,"S COLUMBIAN WAY, NW/O BEACON WR AVE S",2014,19699,15900,315294,Y,Y,7483.04903293447
267,78200010,R,489781,YALE ST ON RAMP,132,"HOWELL ST ON RP, N/O I5 SB",2014,489781,19000,314145, ,Y,448.622393919978
268,65700010,Y,10224,ELLIOTT AV ON RP,119,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB",2014,10224,13600,316702, ,Y,4363.89853652657
269,75600010,R,490102,CHERRY ST ON RAMP NB,95,"CHERRY ST ON RP, NW/O CHERRY ST",2014,490102,13900,314739, ,Y,1466.01938384204
270,77300010,R,489779,MELROSE AVE ON RAMP,193,"OLIVE WY ON RP, N/O MELROSE AV ON RP",2014,489779,9900,314198, ,Y,1405.4477814875
271,50950010,N,8782,ALKI AVE SW,269,"ALKI AVE SW, W/O HARBOR AVE SW",2014,8782,10300,315739, ,Y,19122.2761264024
272,76650010,R,490110,JAMES ST ON RAMP SB,68,"6TH AV ON RP, SE/O 6TH AVE",2014,490110,30100,313312, ,Y,644.882326286976
273,75650010,R,490099,CHERRY ST REV RAMP,94,"CHERRY ST EXPRESS RP, NE/O CHERRY ST",2014,490099,3000,310517, ,Y,225.508948337042
274,76600020,R,490084,COLUMBIA ST OFF RAMP,135,"JAMES ST OFF RP, NW/O COLUMBIA ST",2014,490084,14900,316649, ,Y,314.991595957489
